year,month,avg_order_value
2016,9,143.46
2016,10,175.43645283018864
2016,12,19.62
2017,1,169.97649333333325
2017,2,164.0891228070173
2017,3,162.73800078554603
2017,4,169.6970907511944
2017,5,159.85657078398262
2017,6,156.31590749601398
2017,7,146.25492768595163
2017,8,154.02632005723902
2017,9,168.934334939759
2017,10,167.73492853952655
2017,11,158.2335299766775
2017,12,152.92550154181072
2018,1,152.48089687367417
2018,2,147.39411289092362
2018,3,160.01688419248822
2018,4,166.64885701676948
2018,5,167.25063268632346
2018,6,165.9252811936377
2018,7,166.87892190290637
2018,8,155.17109746496513
