year,month,gross_order_value,delivered_revenue
2016,9,354.75,143.46
2016,10,56808.840000000004,46490.659999999996
2016,12,19.62,19.62
2017,1,137188.4899999998,127482.36999999998
2017,2,286280.6200000001,271239.32
2017,3,432048.59000000026,414330.95000000007
2017,4,412422.2400000013,390812.40000000165
2017,5,586190.9500000045,566851.4000000035
2017,6,502963.0400000037,490050.37000000343
2017,7,584971.6200000042,566299.0800000039
2017,8,668204.6000000029,645832.3600000032
2017,9,720398.9099999991,701077.4899999998
2017,10,769312.3699999982,751117.0099999979
2017,11,1179143.7699999984,1153364.199999998
2017,12,863547.2300000017,843078.2900000017
2018,1,1107301.890000006,1077887.4600000044
2018,2,986908.9599999984,966168.4099999989
2018,3,1155126.8199999994,1120598.2400000002
2018,4,1159698.0400000021,1132878.9300000023
2018,5,1149781.8199999933,1128774.519999995
2018,6,1022677.1099999984,1011978.289999999
2018,7,1058728.030000002,1027807.2800000022
2018,8,1003308.4699999968,985491.6399999969
2018,9,166.46,
