customer_state,state_revenue
SP,5769703.149999991
RJ,2055401.5699999868
MG,1818891.669999992
RS,861472.7900000021
PR,781708.8000000009
SC,595127.7800000015
BA,591137.8100000005
DF,346123.34999999986
GO,334212.3500000001
ES,317657.93000000005
PE,308972.04999999964
CE,266436.7699999997
PA,212023.57000000018
MT,181224.41999999995
MA,147803.55000000005
PB,137838.55
MS,134367.55000000002
PI,105178.18999999992
RN,100714.77999999997
AL,94172.48999999999
SE,70289.12999999998
TO,60007.369999999966
RO,56965.99999999997
AM,27585.47
AC,19575.33
AP,16141.810000000001
RR,9039.52
